question,strand
Do you enjoy solving complex mathematical problems?,abm
Are you interested in learning about how the human body works?,stem
Do you like reading and analyzing literature?,humss
Are you fascinated by the workings of the economy and business?,abm
Do you consider a future career in business or finance?,abm
Are you interested in learning about different cultures and societies?,humss
Do you enjoy conducting experiments to learn about the world around you?,stem
Are you interested in understanding human behavior and emotions?,humss
Do you enjoy learning about the history and development of societies?,humss
Are you interested in exploring and understanding the natural environment around you?,stem
Do you see yourself working in a scientific or technological field in the future?,stem
Do you envision yourself as a future entrepreneur or business leader?,abm
Do you enjoy working with your hands and building or fixing things?,ia
Are you interested in learning how to cook or bake?,he
Do you find satisfaction in growing plants or gardening?,afa
Are you fascinated by how machines or electronic devices work?,ict
Do you enjoy designing and creating clothes or accessories?,he
Are you interested in learning about beauty and wellness techniques?,he
Do you like exploring how computer systems and networks operate?,ict
Are you interested in automotive repair and maintenance?,ia
Do you consider a future career in the field of agriculture or fishery?,afa
Are you interested in learning practical skills that can be used in specific jobs or industries?,ia
Are you interested in studying the science and business of plant cultivation?,afa
Do you enjoy creating and designing structures or spaces?,ia
